file_name,page_count,file_type
NCT01652469,11,pdf
NCT01653847,8,pdf
NCT01654068,6,pdf
NCT01659541,11,pdf
NCT01659723,67,pdf
NCT01659749,3,pdf
NCT01665677,14,pdf
NCT01666730,23,pdf
NCT01666808,12,pdf
NCT01668602,21,pdf
NCT01668719,102,pdf
NCT01670877,19,pdf
NCT01671488,95,pdf
NCT01675141,17,pdf
NCT01681147,11,pdf
NCT01681810,18,pdf
NCT01683422,16,pdf
NCT01683994,14,pdf
NCT01684592,92,pdf
NCT01684722,9,pdf
NCT01688466,17,pdf
NCT01688999,19,pdf
NCT01689740,14,pdf
NCT01694121,18,pdf
NCT01699789,99,pdf
NCT01705080,78,pdf
NCT01705509,8,pdf
NCT01705548,10,pdf
NCT01705886,8,pdf
NCT01711658,19,pdf
NCT01712659,13,pdf
NCT01715571,9,pdf
NCT01716195,71,pdf
NCT01717742,6,pdf
NCT01719562,15,pdf
NCT01720316,18,pdf
NCT01726582,10,pdf
NCT01730118,2,pdf
NCT01730170,14,pdf
NCT01730937,16,pdf
NCT01730950,14,pdf
NCT01731678,5,pdf
NCT01735994,2,pdf
NCT01743976,10,pdf
NCT01746446,9,pdf
NCT01748292,70,pdf
NCT01748825,16,pdf
NCT01749215,16,pdf
NCT01750411,26,pdf
NCT01751568,13,pdf
NCT01751685,96,pdf
NCT01753414,13,pdf
NCT01755195,16,pdf
NCT01756040,5,pdf
NCT01756833,11,pdf
NCT01757067,10,pdf
NCT01763346,18,pdf
NCT01764711,15,pdf
NCT01765673,22,pdf
NCT01765712,29,pdf
NCT01767792,137,pdf
NCT01768650,16,pdf
NCT01768845,14,pdf
NCT01773655,11,pdf
NCT01775475,13,pdf
NCT01777178,6,pdf
NCT01778634,6,pdf
NCT01778946,8,pdf
NCT01779375,19,pdf
NCT01781039,2,pdf
NCT01783990,217,pdf
NCT01784796,14,pdf
NCT01785719,2,pdf
NCT01786564,20,pdf
NCT01787006,4,pdf
NCT01789268,52,pdf
NCT01790295,135,pdf
NCT01790594,3,pdf
NCT01793610,28,pdf
NCT01794117,15,pdf
NCT01794143,37,pdf
NCT01797432,5,pdf
NCT01803854,60,pdf
